0.428541,0.389217,0.349602,0.308304,0.266976,0.238992,0.23095,0.218068,0.183912,0.159066,0.168473,0.192787,0.212862,0.233156,0.260385,0.296348,0.34054,0.388707,0.43732,0.485932,
0.42864,0.389414,0.349903,0.30873,0.267443,0.239236,0.231041,0.218571,0.184727,0.15926,0.16789,0.192099,0.212253,0.23235,0.259214,0.294733,0.338549,0.386522,0.435013,0.483505,
0.428738,0.38961,0.350203,0.309155,0.267911,0.239485,0.23113,0.219062,0.185543,0.15948,0.16732,0.191406,0.211646,0.231556,0.258058,0.293137,0.336571,0.384342,0.432713,0.481083,
0.428835,0.389805,0.350502,0.309578,0.268379,0.23974,0.231218,0.219538,0.186361,0.159727,0.166763,0.190706,0.21104,0.230772,0.256917,0.291559,0.334606,0.382169,0.430418,0.478668,
0.428933,0.39,0.3508,0.31,0.268849,0.24,0.231305,0.22,0.187181,0.16,0.166221,0.19,0.210435,0.23,0.255791,0.29,0.332653,0.38,0.428129,0.476258,
0.445666,0.407202,0.368348,0.32712,0.283877,0.249757,0.232764,0.216295,0.1857,0.163649,0.172554,0.19765,0.220955,0.24555,0.276983,0.312358,0.348842,0.386638,0.425273,0.464303,
0.457273,0.419118,0.380489,0.338984,0.294375,0.256767,0.234063,0.213788,0.184677,0.166096,0.176685,0.202618,0.227752,0.255454,0.290478,0.326981,0.359886,0.391375,0.423332,0.455727,
0.465815,0.42789,0.389431,0.347757,0.302207,0.262131,0.235262,0.21205,0.183947,0.167817,0.179507,0.205994,0.232368,0.262116,0.29961,0.337161,0.367876,0.394943,0.421964,0.449322,
0.472375,0.434637,0.396322,0.35455,0.308334,0.266431,0.236394,0.210838,0.183416,0.169068,0.181488,0.208346,0.235595,0.26674,0.306009,0.344531,0.373893,0.39774,0.420977,0.444393,
0.477578,0.44,0.401816,0.36,0.313301,0.27,0.23748,0.21,0.183031,0.17,0.182897,0.21,0.237881,0.27,0.310578,0.35,0.378557,0.4,0.420257,0.440514,
0.494585,0.442396,0.391812,0.344555,0.301494,0.264872,0.235904,0.20991,0.184613,0.172875,0.185853,0.213246,0.242831,0.276258,0.316458,0.356434,0.388699,0.415742,0.441953,0.46827,
0.508411,0.444545,0.38345,0.331187,0.291199,0.260442,0.234593,0.209876,0.18594,0.175192,0.188157,0.215693,0.246576,0.281071,0.320993,0.361302,0.396375,0.427742,0.458515,0.489408,
0.519901,0.446503,0.376395,0.319494,0.282108,0.256557,0.233487,0.209885,0.187073,0.17709,0.189977,0.217548,0.249428,0.28481,0.324525,0.365014,0.402241,0.437033,0.471423,0.505904,
0.529624,0.448311,0.370398,0.309175,0.273996,0.253104,0.232541,0.209929,0.188057,0.17867,0.191425,0.21895,0.251599,0.287727,0.327291,0.367847,0.40674,0.444297,0.481624,0.518999,
0.537973,0.45,0.36527,0.3,0.26669,0.25,0.231722,0.21,0.188924,0.18,0.192584,0.22,0.25324,0.29,0.329457,0.37,0.410181,0.45,0.489759,0.529518,
0.530273,0.457871,0.389213,0.333916,0.29812,0.274845,0.254085,0.22874,0.199168,0.185135,0.200715,0.231051,0.261046,0.295665,0.339043,0.384244,0.425088,0.463345,0.501337,0.539367,
0.523334,0.464619,0.409108,0.361275,0.323541,0.295219,0.272441,0.244432,0.208204,0.189559,0.207267,0.240219,0.267797,0.300296,0.34665,0.395888,0.437582,0.474653,0.511186,0.547765,
0.51704,0.470455,0.425948,0.384019,0.344758,0.312382,0.287904,0.257883,0.216305,0.193435,0.212599,0.247919,0.273708,0.30412,0.3527,0.405483,0.448169,0.484339,0.519644,0.554989,
0.511298,0.47554,0.440411,0.403333,0.36286,0.32713,0.301181,0.269618,0.223664,0.196885,0.216966,0.254442,0.278936,0.307311,0.357503,0.413423,0.457213,0.49271,0.526968,0.561247,
0.50603,0.48,0.452977,0.42,0.378568,0.34,0.312752,0.28,0.230423,0.2,0.220557,0.26,0.283601,0.31,0.361291,0.42,0.464986,0.5,0.533351,0.566703,
0.511736,0.483625,0.454691,0.420448,0.37855,0.339283,0.310667,0.277679,0.230008,0.20153,0.222326,0.263469,0.291436,0.319245,0.367554,0.424661,0.471228,0.5089,0.544952,0.581049,
0.516887,0.486931,0.45629,0.420906,0.378592,0.338705,0.308836,0.275587,0.229615,0.202848,0.223779,0.266281,0.298048,0.327295,0.373086,0.428613,0.476462,0.516443,0.554837,0.593304,
0.521561,0.489961,0.457788,0.421373,0.378685,0.338246,0.307229,0.2737,0.229241,0.203984,0.224967,0.268546,0.303645,0.334348,0.378004,0.431972,0.480847,0.522848,0.563292,0.603824,
0.525825,0.492752,0.459198,0.421848,0.378822,0.337893,0.30582,0.271996,0.228886,0.204965,0.22593,0.27035,0.308387,0.340555,0.382399,0.434834,0.484511,0.528288,0.57054,0.612886,
0.529732,0.495335,0.460532,0.42233,0.378999,0.337633,0.304588,0.270457,0.228549,0.20581,0.226702,0.271764,0.312402,0.346036,0.386348,0.437275,0.487559,0.5329,0.576759,0.620711,
0.533327,0.497734,0.461797,0.422817,0.37921,0.337453,0.303515,0.269067,0.22823,0.206538,0.227309,0.272845,0.315791,0.350886,0.38991,0.43936,0.490077,0.5368,0.582092,0.627473,
0.536647,0.499971,0.463002,0.42331,0.379452,0.337347,0.302583,0.267814,0.227928,0.207164,0.227776,0.273641,0.318638,0.355185,0.393135,0.441141,0.492136,0.540079,0.586659,0.633319,
0.539725,0.502064,0.464154,0.423808,0.379721,0.337305,0.301779,0.266685,0.227642,0.207699,0.228121,0.27419,0.32101,0.358997,0.396064,0.442661,0.493796,0.542816,0.590557,0.638365,
